Reference, Value, Footprint, Datasheet
SR1,74HC164,SMD_Packages:SOIC-14_N,
C_IN1,CONN_01X04,ttempe_lib:Vibrator_Chain_Cnx_5,
C_OUT1,CONN_01X04,ttempe_lib:Vibrator_Chain_Cnx_5,
R1,2k2,Resistors_SMD:R_0603_HandSoldering,
Q1,Q_NPN_BEC,TO_SOT_Packages_SMD:SOT-23,
V1,Vibrator,ttempe_lib:Vibrator3,
S1,Solenoid,ttempe_lib:Vibrator_antenna2,
R8,2k2,Resistors_SMD:R_0603_HandSoldering,
Q2,Q_NPN_BEC,TO_SOT_Packages_SMD:SOT-23,
V2,Vibrator,ttempe_lib:Vibrator3,
S2,Solenoid,ttempe_lib:Vibrator_antenna2,
R11,2k2,Resistors_SMD:R_0603_HandSoldering,
Q3,Q_NPN_BEC,TO_SOT_Packages_SMD:SOT-23,
V3,Vibrator,ttempe_lib:Vibrator3,
S3,Solenoid,ttempe_lib:Vibrator_antenna2,
R12,2k2,Resistors_SMD:R_0603_HandSoldering,
Q4,Q_NPN_BEC,TO_SOT_Packages_SMD:SOT-23,
V4,Vibrator,ttempe_lib:Vibrator3,
S4,Solenoid,ttempe_lib:Vibrator_antenna2,
R13,2k2,Resistors_SMD:R_0603_HandSoldering,
Q5,Q_NPN_BEC,TO_SOT_Packages_SMD:SOT-23,
V5,Vibrator,ttempe_lib:Vibrator3,
S5,Solenoid,ttempe_lib:Vibrator_antenna2,
R14,2k2,Resistors_SMD:R_0603_HandSoldering,
Q6,Q_NPN_BEC,TO_SOT_Packages_SMD:SOT-23,
V6,Vibrator,ttempe_lib:Vibrator3,
S6,Solenoid,ttempe_lib:Vibrator_antenna2,
R15,2k2,Resistors_SMD:R_0603_HandSoldering,
Q7,Q_NPN_BEC,TO_SOT_Packages_SMD:SOT-23,
V7,Vibrator,ttempe_lib:Vibrator3,
S7,Solenoid,ttempe_lib:Vibrator_antenna2,
R16,2k2,Resistors_SMD:R_0603_HandSoldering,
Q8,Q_NPN_BEC,TO_SOT_Packages_SMD:SOT-23,
V8,Vibrator,ttempe_lib:Vibrator3,
S8,Solenoid,ttempe_lib:Vibrator_antenna2,
C1,0.1 uF,Capacitors_SMD:C_0603_HandSoldering,
C_IN2,CONN_01X04,ttempe_lib:Risym_8P_FCP,
P1,CONN_01X01,Measurement_Points:Measurement_Point_Round-SMD-Pad_Big,
P2,CONN_01X01,Measurement_Points:Measurement_Point_Round-SMD-Pad_Big,
